Species,Temp_C,PulseSpace_s,DampingIndex
Fragilariopsis_cylindrus,10,16,7
Fragilariopsis_cylindrus,10,8,9
Fragilariopsis_cylindrus,10,4,10
Fragilariopsis_cylindrus,10,2,10
Fragilariopsis_cylindrus,10,1,11
Fragilariopsis_cylindrus,6,16,8
Fragilariopsis_cylindrus,6,8,10
Fragilariopsis_cylindrus,6,4,9
Fragilariopsis_cylindrus,6,2,9
Fragilariopsis_cylindrus,6,1,10
Fragilariopsis_cylindrus,2,16,7
Fragilariopsis_cylindrus,2,8,10
Fragilariopsis_cylindrus,2,4,12
Fragilariopsis_cylindrus,2,2,10
Fragilariopsis_cylindrus,2,1,9
Fragilariopsis_cylindrus,0,16,9
Fragilariopsis_cylindrus,0,8,10
Fragilariopsis_cylindrus,0,4,10
Fragilariopsis_cylindrus,0,2,10
Fragilariopsis_cylindrus,0,1,11
Chlamydomonas_ICEMDV,12,16,7
Chlamydomonas_ICEMDV,12,8,7
Chlamydomonas_ICEMDV,12,4,8
Chlamydomonas_ICEMDV,12,2,8
Chlamydomonas_ICEMDV,12,1,9
Chlamydomonas_ICEMDV,8,8,6
Chlamydomonas_ICEMDV,8,4,8
Chlamydomonas_ICEMDV,8,2,8
Chlamydomonas_ICEMDV,8,1,8
Chlamydomonas_ICEMDV,4,16,9
Chlamydomonas_ICEMDV,4,8,8
Chlamydomonas_ICEMDV,4,4,10
Chlamydomonas_ICEMDV,4,2,10
Chlamydomonas_ICEMDV,4,1,9
Chlamydomonas_malina,12,16,6
Chlamydomonas_malina,12,8,9
Chlamydomonas_malina,12,4,8
Chlamydomonas_malina,12,2,9
Chlamydomonas_malina,12,1,9
Chlamydomonas_malina,8,8,7
Chlamydomonas_malina,8,4,8
Chlamydomonas_malina,8,2,9
Chlamydomonas_malina,8,1,9
Chlamydomonas_malina,4,16,6
Chlamydomonas_malina,4,8,9
Chlamydomonas_malina,4,4,10
Chlamydomonas_malina,4,2,10
Chlamydomonas_malina,4,1,9
Chlamydomonas_priscuii,12,16,7
Chlamydomonas_priscuii,12,8,8
Chlamydomonas_priscuii,12,4,8
Chlamydomonas_priscuii,12,2,8
Chlamydomonas_priscuii,12,1,9
Chlamydomonas_priscuii,8,16,8
Chlamydomonas_priscuii,8,8,7
Chlamydomonas_priscuii,8,4,9
Chlamydomonas_priscuii,8,2,10
Chlamydomonas_priscuii,8,1,10
Chlamydomonas_priscuii,4,8,9
Chlamydomonas_priscuii,4,4,10
Chlamydomonas_priscuii,4,2,9
Chlamydomonas_priscuii,4,1,10
Chlamydomonas_reinhardtii,24,16,32
Chlamydomonas_reinhardtii,24,8,7
Chlamydomonas_reinhardtii,24,4,7
Chlamydomonas_reinhardtii,24,2,8
Chlamydomonas_reinhardtii,24,1,8
Chlamydomonas_reinhardtii,20,16,32
Chlamydomonas_reinhardtii,20,8,6
Chlamydomonas_reinhardtii,20,4,7
Chlamydomonas_reinhardtii,20,2,7
Chlamydomonas_reinhardtii,20,1,8
Chlamydomonas_reinhardtii,16,16,6
Chlamydomonas_reinhardtii,16,8,7
Chlamydomonas_reinhardtii,16,4,8
Chlamydomonas_reinhardtii,16,2,7
Chlamydomonas_reinhardtii,16,1,8
Chlamydomonas_reinhardtii,12,16,9
Chlamydomonas_reinhardtii,12,8,7
Chlamydomonas_reinhardtii,12,4,9
Chlamydomonas_reinhardtii,12,2,8
Chlamydomonas_reinhardtii,12,1,9
Chlorella_vulgaris,22,16,32
Chlorella_vulgaris,22,8,7
Chlorella_vulgaris,22,4,6
Chlorella_vulgaris,22,2,7
Chlorella_vulgaris,22,1,7
Chlorella_vulgaris,18,16,12
Chlorella_vulgaris,18,8,6
Chlorella_vulgaris,18,4,7
Chlorella_vulgaris,18,2,6
Chlorella_vulgaris,18,1,7
Chlorella_vulgaris,14,16,9
Chlorella_vulgaris,14,8,6
Chlorella_vulgaris,14,4,6
Chlorella_vulgaris,14,2,7
Chlorella_vulgaris,14,1,8
Chlorella_vulgaris,10,16,6
Chlorella_vulgaris,10,8,7
Chlorella_vulgaris,10,4,7
Chlorella_vulgaris,10,2,8
Chlorella_vulgaris,10,1,9
